animal,body,brain,perc
Cow,465,0.423,0.09
African elephant,6654,5.712,0.09
Pig,192,0.18,0.09
Water opossum,3.5,0.004,0.11
Brazilian tapir,160,0.169,0.11
Horse,521,0.655,0.13
Giraffe,529,0.68,0.13
Giant armadillo,60,0.081,0.14
Kangaroo,35,0.056,0.16
Jaguar,100,0.157,0.16
Asian elephant,2547,4.603,0.18
Gorilla,207,0.406,0.2
Okapi,250,0.49,0.2
Donkey,187.1,0.419,0.22
Tenrec,0.9,0.003,0.29
Nine-banded armadillo,3.5,0.011,0.31
Sheep,55.5,0.175,0.32
Grey wolf,36.33,0.12,0.33
N.A. opossum,1.7,0.006,0.37
Grey seal,85,0.325,0.38
Goat,27.66,0.115,0.42
Yellow-bellied marmot,4.05,0.017,0.42
Desert hedgehog,0.55,0.002,0.44
European hedgehog,0.785,0.004,0.45
Rabbit,2.5,0.012,0.48
Guinea pig,1.04,0.006,0.53
Rock hyrax-b,3.6,0.021,0.58
Mountain beaver,1.35,0.008,0.6
Arctic ground squirrel,0.92,0.006,0.62
Tree hyrax,2,0.012,0.62
Roe deer,14.83,0.098,0.66
African giant pouched rat,1,0.007,0.66
Rat,0.28,0.002,0.68
Musk shrew,0.048,0,0.69
Phalanger,1.62,0.011,0.7
Cat,3.3,0.026,0.78
Golden hamster,0.12,0.001,0.83
Echidna,3,0.025,0.83
Chimpanzee,52.16,0.44,0.84
Slow loris,1.4,0.013,0.89
Raccoon,4.288,0.039,0.91
Patas monkey,10,0.115,1.15
Red fox,4.235,0.05,1.19
Genet,1.41,0.018,1.24
Big brown bat,0.023,0,1.3
Arctic fox,3.385,0.045,1.32
Verbet,4.19,0.058,1.38
Chinchilla,0.425,0.006,1.51
E. American mole,0.075,0.001,1.6
Rock hyrax-a,0.75,0.012,1.64
Star-nosed mole,0.06,0.001,1.67
Baboon,10.55,0.18,1.7
Mouse,0.023,0,1.74
Human,62,1.32,2.13
Tree shrew,0.104,0.003,2.4
Mole rat,0.122,0.003,2.46
Galago,0.2,0.005,2.5
Little brown bat,0.01,0,2.5
Rhesus monkey,6.8,0.179,2.63
Lesser short-tailed shrew,0.005,0,2.8
Owl monkey,0.48,0.016,3.23
Ground squirrel,0.101,0.004,3.96
