animal,body,brain,perc
Arctic fox,3.385,0.045,1.32
Owl monkey,0.480,0.016,3.23
Mountain beaver,1.350,0.008,0.60
Cow,465.000,0.423,0.09
Grey wolf,36.330,0.120,0.33
Goat,27.660,0.115,0.42
Roe deer,14.830,0.098,0.66
Guinea pig,1.040,0.006,0.53
Verbet,4.190,0.058,1.38
Chinchilla,0.425,0.006,1.51
Ground squirrel,0.101,0.004,3.96
Arctic ground squirrel,0.920,0.006,0.62
African giant pouched rat,1.000,0.007,0.66
Lesser short-tailed shrew,0.005,0.000,2.80
Star-nosed mole,0.060,0.001,1.67
Nine-banded armadillo,3.500,0.011,0.31
Tree hyrax,2.000,0.012,0.62
N.A. opossum,1.700,0.006,0.37
Asian elephant,2547.000,4.603,0.18
Big brown bat,0.023,0.000,1.30
Donkey,187.100,0.419,0.22
Horse,521.000,0.655,0.13
European hedgehog,0.785,0.004,0.45
Patas monkey,10.000,0.115,1.15
Cat,3.300,0.026,0.78
Galago,0.200,0.005,2.50
Genet,1.410,0.018,1.24
Giraffe,529.000,0.680,0.13
Gorilla,207.000,0.406,0.20
Grey seal,85.000,0.325,0.38
Rock hyrax-a,0.750,0.012,1.64
Human,62.000,1.320,2.13
African elephant,6654.000,5.712,0.09
Water opossum,3.500,0.004,0.11
Rhesus monkey,6.800,0.179,2.63
Kangaroo,35.000,0.056,0.16
Yellow-bellied marmot,4.050,0.017,0.42
Golden hamster,0.120,0.001,0.83
Mouse,0.023,0.000,1.74
Little brown bat,0.010,0.000,2.50
Slow loris,1.400,0.013,0.89
Okapi,250.000,0.490,0.20
Rabbit,2.500,0.012,0.48
Sheep,55.500,0.175,0.32
Jaguar,100.000,0.157,0.16
Chimpanzee,52.160,0.440,0.84
Baboon,10.550,0.180,1.70
Desert hedgehog,0.550,0.002,0.44
Giant armadillo,60.000,0.081,0.14
Rock hyrax-b,3.600,0.021,0.58
Raccoon,4.288,0.039,0.91
Rat,0.280,0.002,0.68
E. American mole,0.075,0.001,1.60
Mole rat,0.122,0.003,2.46
Musk shrew,0.048,0.000,0.69
Pig,192.000,0.180,0.09
Echidna,3.000,0.025,0.83
Brazilian tapir,160.000,0.169,0.11
Tenrec,0.900,0.003,0.29
Phalanger,1.620,0.011,0.70
Tree shrew,0.104,0.003,2.40
Red fox,4.235,0.050,1.19
