country,code,years,,intervals,frequency,,,frequency
Aruba,ABW,75.45109756,5.090219512,50,2,,50 or smaller,2
Andorra,AND,,-10,55,8,,50 to 55,6
Afghanistan,AFG,60.37446341,2.074892682,60,28,,55 to 60,20
Angola,AGO,52.26687805,0.45337561,65,58,,60 to 65,30
Albania,ALB,77.83046341,5.566092682,70,90,,65 to 70,32
Arab World,ARB,70.56790191,4.113580382,75,156,,70 to 75,66
United Arab Emirates,ARE,77.36817073,5.473634146,80,205,,75 to 80,49
Argentina,ARG,76.15860976,5.231721952,85,245,,80 to 85,40
Armenia,ARM,74.67570732,4.935141464,,,,,
American Samoa,ASM,,-10,,,,,
Antigua and Barbuda,ATG,75.93763415,5.18752683,min,48.93473171,,,
Australia,AUS,82.25121951,6.450243902,max,83.9804878,,,
Austria,AUT,81.33658537,6.267317074,,,,,
Azerbaijan,AZE,70.76321951,4.152643902,,,,,
Burundi,BDI,56.69202439,1.338404878,,,,,
Belgium,BEL,80.58780488,6.117560976,,,,,
Benin,BEN,59.51058537,1.902117074,,,,,
Burkina Faso,BFA,58.58846341,1.717692682,,,,,
Bangladesh,BGD,71.62590244,4.325180488,,,,,
Bulgaria,BGR,75.40731707,5.081463414,,,,,
Bahrain,BHR,76.68326829,5.336653658,,,,,
"Bahamas, The",BHS,75.23365854,5.046731708,,,,,
Bosnia and Herzegovina,BIH,76.4332439,5.28664878,,,,,
Belarus,BLR,72.97560976,4.595121952,,,,,
Belize,BLZ,70.07743902,4.015487804,,,,,
Bermuda,BMU,80.79731707,6.159463414,,,,,
Bolivia,BOL,68.344,3.6688,,,,,
Brazil,BRA,74.40187805,4.88037561,,,,,
Barbados,BRB,75.49641463,5.099282926,,,,,
Brunei Darussalam,BRN,78.80958537,5.761917074,,,,,
Bhutan,BTN,69.4712439,3.89424878,,,,,
Botswana,BWA,64.4292439,2.88584878,,,,,
Central African Republic,CAF,50.65778049,0.131556098,,,,,
Canada,CAN,81.95660976,6.391321952,,,,,
Central Europe and the Baltics,CEB,76.56332725,5.31266545,,,,,
Switzerland,CHE,82.84878049,6.569756098,,,,,
Channel Islands,CHI,80.6064878,6.12129756,,,,,
Chile,CHL,81.49619512,6.299239024,,,,,
China,CHN,75.78226829,5.156453658,,,,,
Cote d'Ivoire,CIV,51.55958537,0.311917074,,,,,
Cameroon,CMR,55.4927561,1.09855122,,,,,
"Congo, Rep.",COG,62.31114634,2.462229268,,,,,
Colombia,COL,73.99314634,4.798629268,,,,,
Comoros,COM,63.25685366,2.651370732,,,,,
Cabo Verde,CPV,73.147,4.6294,,,,,
Costa Rica,CRI,79.40270732,5.880541464,,,,,
Caribbean small states,CSS,72.84469981,4.568939962,,,,,
Cuba,CUB,79.39082927,5.878165854,,,,,
Curacao,CUW,77.82439024,5.564878048,,,,,
Cayman Islands,CYM,,-10,,,,,
Cyprus,CYP,80.13156098,6.026312196,,,,,
