station,date,min,max,rain
240,20151201,60,128,6
240,20151202,94,120,1
240,20151203,83,110,0
240,20151204,79,110,42
240,20151205,74,93,0
240,20151206,80,125,30
240,20151207,93,122,9
240,20151208,79,113,49
240,20151209,53,101,0
240,20151210,55,76,23
240,20151211,61,98,32
240,20151212,39,121,62
240,20151213,45,117,10
240,20151214,48,98,0
240,20151215,44,94,3
240,20151216,91,134,37
240,20151217,110,144,10
240,20151218,96,131,-1
240,20151219,95,136,0
240,20151220,95,125,5
240,20151221,80,122,52
240,20151222,78,137,28
240,20151223,71,127,11
240,20151224,66,127,9
240,20151225,45,138,12
240,20151226,110,148,0
240,20151227,105,134,2
240,20151228,66,116,0
240,20151229,54,98,2
240,20151230,59,94,0
240,20151231,51,99,15
240,20160101,11,80,1
240,20160102,46,65,23
240,20160103,53,85,99
240,20160104,43,72,116
240,20160105,44,77,16
240,20160106,18,44,5
240,20160107,28,83,135
240,20160108,7,90,0
240,20160109,8,74,-1
240,20160110,44,86,2
240,20160111,24,72,25
240,20160112,51,83,67
240,20160113,14,72,99
240,20160114,15,59,177
240,20160115,-15,43,7
240,20160116,-3,59,50
240,20160117,-46,25,-1
240,20160118,-61,-2,0
240,20160119,-63,23,-1
240,20160120,-33,52,9
240,20160121,-43,10,0
240,20160122,-20,73,40
240,20160123,33,100,0
240,20160124,51,112,30
240,20160125,81,133,0
240,20160126,41,111,54
240,20160127,83,117,117
240,20160128,43,86,-1
240,20160129,60,109,1
240,20160130,50,97,154
240,20160131,45,104,47
240,20160201,103,122,6
240,20160202,64,108,0
240,20160203,25,74,26
240,20160204,25,79,23
240,20160205,51,108,5
240,20160206,84,104,0
240,20160207,61,117,28
240,20160208,66,99,92
240,20160209,39,79,62
240,20160210,26,78,49
240,20160211,-2,85,0
240,20160212,-13,59,2
240,20160213,-17,40,14
240,20160214,9,32,157
240,20160215,-26,62,-1
240,20160216,-54,59,0
240,20160217,-48,29,0
240,20160218,-29,27,21
240,20160219,-21,87,-1
240,20160220,50,106,69
240,20160221,85,118,58
240,20160222,22,107,20
240,20160223,6,84,11
240,20160224,-12,70,17
240,20160225,-15,60,8
240,20160226,-5,54,12
240,20160227,-7,61,0
240,20160228,-10,65,0
240,20160229,-20,68,0
240,20160301,-37,87,76
240,20160302,10,87,133
240,20160303,1,85,3
240,20160304,-21,33,100
240,20160305,-37,75,1
240,20160306,-18,72,9
240,20160307,-4,71,18
240,20160308,-3,78,12
240,20160309,25,82,0
240,20160310,-8,87,0
240,20160311,6,55,0
240,20160312,-15,97,0
240,20160313,-10,86,0
240,20160314,-4,91,0
240,20160315,-9,86,-1
240,20160316,11,96,0
240,20160317,14,110,0
240,20160318,28,72,-1
240,20160319,52,83,0
240,20160320,44,96,5
240,20160321,57,91,4
240,20160322,46,104,-1
240,20160323,64,102,8
240,20160324,61,109,7
240,20160325,9,101,42
240,20160326,4,149,-1
240,20160327,62,134,126
240,20160328,71,121,22
240,20160329,59,118,51
240,20160330,52,110,-1
240,20160331,46,122,0
240,20160401,23,134,0
240,20160402,74,129,-1
240,20160403,120,192,29
240,20160404,96,150,74
240,20160405,54,124,-1
240,20160406,47,116,74
240,20160407,62,101,11
240,20160408,28,126,-1
240,20160409,36,153,-1
240,20160410,59,139,28
240,20160411,84,185,-1
240,20160412,68,164,6
240,20160413,52,158,-1
240,20160414,47,166,3
240,20160415,83,132,40
240,20160416,42,113,12
240,20160417,25,119,3
240,20160418,26,127,-1
240,20160419,40,134,0
240,20160420,18,127,0
240,20160421,36,148,0
240,20160422,58,119,0
240,20160423,27,102,8
240,20160424,14,86,54
240,20160425,9,88,72
240,20160426,27,80,73
240,20160427,29,99,27
240,20160428,4,89,37
240,20160429,46,116,85
240,20160430,19,110,6
