code,female1960,male1960,female1970,male1970,female1980,male1980,female1990,male1990,female2000,male2000,female2010,male2010
ABW,67.129,64.084,71.306,66.972,74.839,69.726,75.932,70.969,76.257,71.305,77.43,72.595
AND,,,,,,,,,,,,
AFG,33.105,31.589,37.487,35.956,42.685,41.089,50.867,48.903,56.265,54.041,60.154,57.844
AGO,34.504,31.538,38.585,35.52,41.661,38.729,43.203,39.172,46.621,43.856,52.138,49.241
ALB,63.247,61.309,68.441,65.496,72.085,68.475,74.989,69.07,77.42,71.273,79.979,74.235
ARB,47.8855844,45.86661259,53.69188048,51.32416324,60.2271098,56.85021922,66.27605487,62.71800693,69.53108186,65.87502878,71.71869784,68.02981449
ARE,55.006,49.612,64.02,59.883,69.592,66.451,72.995,70.506,75.584,73.373,77.799,75.605
ARG,68.154,62.417,70,63.344,73.022,66.174,75.191,68.07,77.544,70.148,79.434,71.724
ARM,69.057,62.822,73.063,66.935,73.917,67.606,70.78,64.86,74.717,68,77.908,70.72
ASM,,,,,,,,,,,,
ATG,64.167,59.512,68.098,63.083,71.239,66.071,73.79,68.661,75.947,70.969,77.796,72.94
AUS,74,67.78571429,74.44,67.76,77.96,70.88,80.16,73.98,82,76.6,84,79.5
AUT,71.92,65.41,73.5,66.5,76.1,69,79,72.3,81.2,75.2,83.5,77.8
AZE,64.501,57.346,68.426,61.219,68.553,60.994,69.099,60.601,69.877,63.788,73.609,67.444
BDI,42.851,39.698,45.423,42.219,48.992,45.616,49.738,46.345,53.208,49.845,56.669,53.077
BEL,72.77,66.78,74.25,67.85,76.69,69.89,79.54,72.73,81,74.6,83,77.5
BEN,37.75,36.829,44.24,40.55,50.549,44.078,56.003,50.96,57.173,53.298,60.128,57.398
BFA,35.553,33.454,40.278,37.972,47.234,44.82,50.516,48.27,51.63,49.123,58.358,55.807
BGD,46.152,45.522,47.634,47.422,53.717,53.27,58.793,58.06,65.706,65.007,71.181,69.032
BGR,71.03,67.55,73.51,69.11,73.99,68.46,75.15,68.3,75.3,68.2,77.2,70
BHR,55.392,48.944,65.959,61.547,71.326,68.305,73.652,71.417,75.503,73.739,77.049,75.25
BHS,64.764,60.791,68.495,63.358,71.604,65.463,74.152,67.277,75.476,69.186,77.705,71.628
BIH,61.947,58.685,68.177,64.047,72.982,67.577,74.302,67.432,76.897,71.75,78.446,73.295
BLR,70.518,65.032,73.66,66.669,74.232,65.583,75.6,66.3,74.7,63.4,76.5,64.6
BLZ,61.332,58.656,66.732,64.417,71.441,67.781,73.584,69.093,71.364,65.614,72.552,67.144
BMU,,,73.86,66.89,76.1,68.69,,,80.6,75.3,82.08,76.63
BOL,43.47,40.831,46.997,44.378,51.468,48.61,56.838,53.459,62.767,58.712,68.833,64.098
BRA,56.076,52.424,62.045,56.394,65.284,58.912,69.191,61.673,73.991,66.281,77.164,69.55
BRB,63.025,58.56,67.589,63.181,70.872,66.392,73.505,68.95,75.592,70.96,77.29,72.517
BRN,63.976,61.095,68.427,65.573,71.856,68.876,74.639,71.539,76.935,73.721,79.414,75.869
BTN,32.722,32.014,36.909,36.974,44.785,45.13,52.344,52.575,60.739,60.566,68.169,67.629
BWA,52.428,48.757,56.272,52.702,62.629,58.559,64.59,60.62,49.612,47.819,65.763,61.154
CAF,38.094,34.948,43.808,40.152,51.179,46.676,51.43,46.72,46.202,43.069,49.229,46.098
CAN,74.15,68.26,76.25,69.32,78.73,71.6,80.65,74.26,81.9,76.7,83.6,79.33
CEB,70.36772979,65.41599189,72.59225127,66.46706734,73.64115981,66.33530834,74.82316631,66.69899849,76.78708637,68.85708597,79.28456406,71.50653836
CHE,74.11,68.65,76.16,70.03,78.85,72.23,80.71,73.94,82.6,76.9,84.5,80.1
CHI,73.61,67.811,74.95,68.681,76.455,70.383,78.285,72.688,79.971,75.175,82.095,78.025
CHL,60.26,54.79,65.933,59.754,71.298,64.725,76.09,69.43,80.146,73.654,83.434,77.268
CHN,44.761,42.014,60.516,56.933,68.012,65.102,70.731,67.411,73.454,70.089,76.607,73.484
CIV,37.884,35.909,45.3,42.261,52.701,48.812,54.752,50.564,47.292,46.135,50.951,49.39
CMR,42.878,40.234,47.53,44.692,52.781,49.708,55.155,52.102,52.991,50.931,54.752,52.688
COG,49.857,47.367,54.891,51.901,57.545,54.706,56.563,53.568,51.687,49.545,60.503,57.848
COL,58.47,55.047,62.818,59.021,68.306,62.785,72.384,64.405,74.823,67.337,77.022,69.712
COM,42.999,39.96,47.279,44.063,52.276,48.996,58.266,55.118,61.06,57.895,63.489,60.251
CPV,50.078,47.693,55.24,52.418,62.182,59.064,67.208,64.011,71.388,68.14,74.408,70.874
CRI,61.996,59.224,68.348,64.667,74.747,69.638,78.339,73.106,79.83,75.13,81.254,76.338
CSS,64.24817426,60.48135735,67.71124962,63.75926132,70.65510965,66.11458466,72.29594699,66.97731246,73.27274755,67.25018018,75.02656407,69.47764082
CUB,65.62,62.271,71.538,68.307,75.564,72.182,76.584,72.796,78.648,74.737,81.072,76.901
CUW,,,,,,,,,,,,
CYM,,,,,,,,,,,,
CYP,71.655,67.631,74.603,70.542,76.844,72.769,78.616,74.512,80.106,75.939,81.631,77.24
CZE,73.34,67.5,73,66.05,73.93,66.8,75.42,67.54,78.4,71.7,80.6,74.4
DEU,72.003,66.751,73.715,67.711,76,69.514,78.501,72.012,81,75,82.6,77.5
DJI,45.375,42.732,50.581,47.76,55.199,52.111,58.273,55.13,58.613,55.484,61.928,58.868
DMA,,,,,,,,,,,,
DNK,74,70.44,75.93,70.88,77.18,71.17,77.73,72.02,79,74.3,81.2,77.1
DOM,53.367,50.396,60.317,56.847,64.981,61.183,70.537,65.487,73.753,67.663,75.971,69.682
DZA,46.865,45.44,51.199,49.529,59.402,56.985,68.266,65.198,71.973,68.48,76.091,71.626
EAP,47.10101567,43.9221,60.02046071,56.24768338,66.68352932,63.40982761,69.81974139,66.07742437,72.41217963,68.47121617,75.25897909,71.37279116
EAR,45.61432836,44.74189106,51.62116548,50.40891069,57.51348966,55.20063005,61.95602171,59.3627037,65.96479276,63.02847844,69.54583083,66.09326834
EAS,49.88899278,46.32299792,61.64614379,57.53993886,67.88961003,64.23893837,70.98057442,66.88500548,73.54154772,69.25490846,76.30598967,72.10421709
ECA,67.07414287,59.86189127,70.33348438,61.88239277,71.15655678,61.87371121,72.82628219,63.94157291,72.69387196,62.74727535,75.30521279,66.16017719
ECS,70.14025857,64.09471962,72.67041232,65.56203896,74.26060109,66.38823614,76.09029902,68.29714101,77.12318887,69.19583835,79.527665,72.39834679
ECU,54.538,51.955,59.277,56.335,65.1,61.18,71.521,66.59,76.066,69.971,77.936,72.262
EGY,49.265,46.822,53.929,50.402,60.549,56.189,66.982,62.232,71.058,66.241,72.617,68.172
EMU,72.06325353,66.62202519,74.3671493,68.10198214,77.08019614,70.14603351,79.48079233,72.48597211,81.61916612,75.09456951,83.70303657,77.93870935
ERI,39.446,35.379,43.043,38.124,45.339,41.397,50.485,46.094,58.313,53.846,63.749,59.292
ESP,71.66,66.68,74.87,69.32,78.53,72.32,80.51,73.34,82.5,75.6,84.7,78.7
EST,72.023,63.985,74.405,65.681,74.161,63.917,74.7,64.5,76,65.1,80.5,70.6
ETH,39.909,36.974,44.492,41.445,45.256,42.297,48.651,45.622,53.344,50.584,63.034,59.641
EUU,72.01509464,66.68139341,74.15572693,67.99503564,76.36601447,69.52927338,78.44123911,71.45056454,80.48029143,73.99958731,82.70621009,76.89650176
FCS,42.39189599,39.46470614,48.14568727,45.37548416,52.95479563,49.57904699,56.67857696,53.38311949,58.14679801,55.25604744,62.03470157,58.78162868
FIN,72.4,65.41,74.4,66.16,77.85,69.24,78.88,70.94,81,74.1,83.2,76.7
FJI,58.038,53.978,61.702,58.196,64.704,61.394,67.635,63.605,70.153,65.18,72.414,66.499
FRA,73.3,66.6,75.5,68,78.2,70.1,80.8,72.6,83,75.3,85.3,78.2
FRO,,,,,,,79.7,72.7,81.1,75.9,83.2,78.2
FSM,58.15,57.05,62.197,61.097,65.747,64.647,66.761,65.661,67.874,66.705,69.483,67.783
GAB,41.182,38.035,48.282,45.106,56.589,53.383,62.767,59.786,59.739,58.959,62.086,62.154
GBR,74.2,68.2,75.2,68.9,76.8,70.7,78.8,73.1,80.2,75.4,82.4,78.5
GEO,67.365,59.686,71.098,63.408,73.293,65.646,73.922,66.264,75.361,68.049,77.722,70.46
GHA,46.148,45.53,50.26,48.454,53.52,51.083,57.88,55.677,57.781,56.231,61.535,59.729
GIB,,,,,,,,,,,,
GIN,36.067,33.762,37.841,35.503,42.486,40.09,50.891,48.993,51.268,51.219,56.933,55.707
GMB,33.293,30.851,39.128,36.673,47.655,45.109,53.537,50.954,56.77,54.439,60.659,58.085
GNB,39.418,36.338,43.068,40.049,47.277,43.883,51.331,46.929,52.54,50.403,55.5,52.209
GNQ,38.285,35.255,41.3,38.237,45.388,42.208,49.826,46.631,53.489,50.794,57.273,54.731
GRC,70.541,65.9,73.586,68.349,76.791,70.653,79.5,74.5,80.5,75.4,83,77.9
GRD,61.709,58.013,65.651,61.623,68.568,64.276,70.784,66.276,72.641,67.976,75.024,70.228
GRL,,,,,67.24,59.84,68.92,61.4,69.76,64.3,73.29,68.54
GTM,46.219,44.877,53.412,50.759,59.239,55.261,65.224,59.395,71.388,64.271,74.389,67.334
GUM,63.438,59.12,68.206,63.64,71.762,67.132,74.413,69.788,77.533,72.779,80.941,75.396
GUY,62.936,57.748,64.361,59.387,65.747,59.688,67.212,60.01,67.991,62.099,68.47,63.731
HIC,71.42683375,65.76612549,73.93496169,67.41309388,76.69390738,69.8588268,78.92651714,72.11279391,80.72973842,74.66810825,82.71346875,77.19929178
HKG,70.771,63.408,75.025,68.05,77.9,71.6,80.3,74.6,83.9,78,86,80.1
HND,48.039,44.621,54.525,50.601,61.812,57.517,69.018,64.471,72.964,68.142,74.936,69.973
HPC,40.8621995,38.3305122,45.02537886,42.36827807,48.84583378,45.9952492,51.09019088,48.16277649,53.35901322,50.87675473,60.05330126,57.31676113
HRV,67.248,62.095,71.918,64.66,74.15,66.39,75.93,68.59,76.68,69.12,79.6,73.5
HTI,43.461,40.804,48.537,45.926,52.309,49.418,56.11,53.102,59.501,55.938,63.377,59.205
HUN,70.18,65.93,72.12,66.35,72.77,65.53,73.7,65.14,75.6,67.1,78.1,70.5
IBD,49.86538546,46.86647188,58.61693283,55.18153567,64.07439344,60.30724975,67.3460118,63.37028964,70.26112412,66.07053345,73.22489194,68.98946791
IBT,48.97847776,46.01928575,56.83735312,53.51699715,61.98983653,58.40990277,65.04983832,61.28735524,67.54479434,63.72588836,70.69517643,66.8117931
IDA,45.09735566,42.29199135,49.37120973,46.43655806,53.72778784,50.74291619,56.68292648,53.53759116,58.62721812,55.86951,63.33156538,60.30871565
IDB,49.57635707,46.04230746,54.16296504,50.31123199,58.78510583,54.97725139,60.80976207,56.78790047,61.41818292,57.75687408,64.06821496,60.54416545
IDN,50.055,47.293,55.73,53.39,60.79,58.486,64.734,61.856,67.995,64.582,70.281,66.115
IDX,42.348979,39.90655024,46.48723222,44.02995442,50.6457098,48.083404,54.17151957,51.50929612,57.00038051,54.74499778,62.92166466,60.17446387
IMN,,,,,,,,,,,,
IND,40.418,41.89,47.157,48.27,53.971,53.783,58.291,57.613,63.486,61.816,67.718,65.352
INX,,,,,,,,,,,,
