country,code,life,GDP
Angola,AGO,41.13834146,901.1076018
Albania,ALB,71.95731707,639.4638993
Arab World,ARB,64.4487757,2008.029448
United Arab Emirates,ARE,71.72014634,27989.30127
Argentina,ARG,71.54365854,4318.774568
Armenia,ARM,67.74780488,636.68069
Antigua and Barbuda,ATG,71.16295122,6325.240905
Australia,AUS,76.99463415,18221.69121
Austria,AUT,75.56829268,21628.76023
Azerbaijan,AZE,64.74636585,1237.324492
Burundi,BDI,48.00012195,201.6876563
Belgium,BEL,76.05195122,20710.66393
Benin,BEN,53.42,391.8934468
Burkina Faso,BFA,49.36560976,351.9792491
Bangladesh,BGD,58.41756098,298.144992
Bulgaria,BGR,71.64146341,2377.335894
Bahrain,BHR,72.5072439,8528.760059
"Bahamas, The",BHS,70.63065854,12350.88048
Belarus,BLR,70.83658537,1704.740304
Belize,BLZ,71.28373171,2202.322556
Bolivia,BOL,55.10729268,709.9486541
Brazil,BRA,65.34031707,3071.627953
Barbados,BRB,71.17195122,7727.850593
Brunei Darussalam,BRN,73.05119512,13701.89704
Bhutan,BTN,52.46231707,559.8216186
Botswana,BWA,62.55658537,2747.208438
Central African Republic,CAF,49.01756098,490.3995393
Canada,CAN,77.37707317,21371.2911
Central Europe and the Baltics,CEB,70.65636732,2294.681277
Switzerland,CHE,77.24243902,38332.15172
Chile,CHL,72.67878049,2401.525181
China,CHN,69.0305122,316.2244304
Cote d'Ivoire,CIV,52.60692683,887.3854461
Cameroon,CMR,53.59126829,923.8812783
"Congo, Rep.",COG,55.02897561,1172.757072
Colombia,COL,68.29719512,1175.149339
Comoros,COM,56.65360976,602.2748212
Cabo Verde,CPV,65.5705122,899.2987882
Costa Rica,CRI,75.65868293,2391.302218
Caribbean small states,CSS,69.57310829,2963.161515
Cuba,CUB,74.64380488,2706.975485
Cyprus,CYP,76.51395122,9641.575273
Czech Republic,CZE,71.38390244,3901.525437
Germany,DEU,75.17736585,22219.57253
Djibouti,DJI,56.66317073,768.8000207
Denmark,DNK,74.80536585,26861.79959
Dominican Republic,DOM,67.95041463,984.6914396
Algeria,DZA,66.69458537,2394.420608
East Asia & Pacific (excluding high income),EAP,67.8956796,418.259892
Early-demographic dividend,EAR,60.61007582,899.5963669
East Asia & Pacific,EAS,68.92980959,2594.595948
Europe & Central Asia (excluding high income),ECA,68.25626529,2410.073632
Europe & Central Asia,ECS,72.07460899,10479.87919
Ecuador,ECU,68.99536585,1491.402557
"Egypt, Arab Rep.",EGY,64.54907317,764.7606811
Euro area,EMU,75.89682735,18848.79263
Spain,ESP,76.83756098,13773.3657
Ethiopia,ETH,47.09956098,253.3479607
European Union,EUU,74.85923994,15851.86703
Finland,FIN,74.81317073,28380.54891
