country,code,years
Aruba,ABW,77.946
Andorra,AND,
Afghanistan,AFG,61.615
Angola,AGO,53.805
Albania,ALB,80.415
Arab World,ARB,72.50197219
United Arab Emirates,ARE,78.495
Argentina,ARG,80.06
Armenia,ARM,78.594
American Samoa,ASM,
Antigua and Barbuda,ATG,78.452
Australia,AUS,84.3
Austria,AUT,84
Azerbaijan,AZE,73.988
Burundi,BDI,58.728
Belgium,BEL,83.2
Benin,BEN,60.977
Burkina Faso,BFA,59.934
Bangladesh,BGD,72.911
Bulgaria,BGR,79.3
Bahrain,BHR,77.638
"Bahamas, The",BHS,78.335
Bosnia and Herzegovina,BIH,79.027
Belarus,BLR,78.2
Belize,BLZ,72.936
Bermuda,BMU,84.69
Bolivia,BOL,70.864
Brazil,BRA,78.25
Barbados,BRB,77.957
Brunei Darussalam,BRN,80.717
Bhutan,BTN,69.734
Botswana,BWA,66.834
Central African Republic,CAF,52.557
Canada,CAN,83.989
Central Europe and the Baltics,CEB,80.32656666
Switzerland,CHE,85
Channel Islands,CHI,82.581
Chile,CHL,84.491
China,CHN,77.346
Cote d'Ivoire,CIV,52.417
Cameroon,CMR,56.679
"Congo, Rep.",COG,63.859
Colombia,COL,77.662
Comoros,COM,64.964
Cabo Verde,CPV,75.016
Costa Rica,CRI,81.914
Caribbean small states,CSS,75.6516827
Cuba,CUB,81.498
Curacao,CUW,81
Cayman Islands,CYM,
Cyprus,CYP,82.397
Czech Republic,CZE,81.4
Germany,DEU,83.2
Djibouti,DJI,63.674
Dominica,DMA,
Denmark,DNK,82.7
Dominican Republic,DOM,76.712
Algeria,DZA,77.219
East Asia & Pacific (excluding high income),EAP,75.96406375
Early-demographic dividend,EAR,70.95630325
East Asia & Pacific,EAS,76.99579252
Europe & Central Asia (excluding high income),ECA,76.38435576
Europe & Central Asia,ECS,80.37486601
Ecuador,ECU,78.687
"Egypt, Arab Rep.",EGY,73.36
Euro area,EMU,84.4062575
Eritrea,ERI,65.867
Spain,ESP,86.1
Estonia,EST,81.9
