country,country,male,female
Aruba,ABW,73.075,77.946
Andorra,AND,,
Afghanistan,AFG,59.193,61.615
Angola,AGO,50.802,53.805
Albania,ALB,75.369,80.415
Arab World,ARB,68.7575953,72.50197219
United Arab Emirates,ARE,76.295,78.495
Argentina,ARG,72.443,80.06
Armenia,ARM,70.944,78.594
American Samoa,ASM,,
Antigua and Barbuda,ATG,73.543,78.452
Australia,AUS,80.3,84.3
Austria,AUT,78.8,84
Azerbaijan,AZE,67.692,73.988
Burundi,BDI,54.753,58.728
Belgium,BEL,78.1,83.2
Benin,BEN,58.114,60.977
Burkina Faso,BFA,57.307,59.934
Bangladesh,BGD,70.402,72.911
Bulgaria,BGR,71.7,79.3
Bahrain,BHR,75.774,77.638
"Bahamas, The",BHS,72.28,78.335
Bosnia and Herzegovina,BIH,73.963,79.027
Belarus,BLR,68,78.2
Belize,BLZ,67.355,72.936
Bermuda,BMU,77.09,84.69
Bolivia,BOL,65.944,70.864
Brazil,BRA,70.737,78.25
Barbados,BRB,73.153,77.957
Brunei Darussalam,BRN,76.993,80.717
Bhutan,BTN,69.221,69.734
Botswana,BWA,62.139,66.834
Central African Republic,CAF,48.849,52.557
Canada,CAN,80.021,83.989
Central Europe and the Baltics,CEB,72.9881376,80.32656666
Switzerland,CHE,80.8,85
Channel Islands,CHI,78.726,82.581
Chile,CHL,78.644,84.491
China,CHN,74.293,77.346
Cote d'Ivoire,CIV,50.743,52.417
Cameroon,CMR,54.363,56.679
"Congo, Rep.",COG,60.837,63.859
Colombia,COL,70.499,77.662
Comoros,COM,61.631,64.964
Cabo Verde,CPV,71.367,75.016
Costa Rica,CRI,77.011,81.914
Caribbean small states,CSS,70.17299706,75.6516827
Cuba,CUB,77.384,81.498
Curacao,CUW,74.8,81
Cayman Islands,CYM,,
Cyprus,CYP,77.974,82.397
Czech Republic,CZE,75.3,81.4
Germany,DEU,78.6,83.2
Djibouti,DJI,60.436,63.674
Dominica,DMA,,
Denmark,DNK,78.5,82.7
Dominican Republic,DOM,70.441,76.712
Algeria,DZA,72.512,77.219
East Asia & Pacific (excluding high income),EAP,72.12193771,75.96406375
Early-demographic dividend,EAR,67.23328802,70.95630325
East Asia & Pacific,EAS,72.87718875,76.99579252
Europe & Central Asia (excluding high income),ECA,67.66538529,76.38435576
Europe & Central Asia,ECS,73.64663239,80.37486601
Ecuador,ECU,73.192,78.687
"Egypt, Arab Rep.",EGY,68.99,73.36
Euro area,EMU,79.03123899,84.4062575
Eritrea,ERI,61.564,65.867
Spain,ESP,80.2,86.1
Estonia,EST,72.8,81.9
Ethiopia,ETH,62.156,66.008
European Union,EUU,78.04052975,83.4515847
Fragile and conflict affected situations,FCS,60.03100059,63.42221385
Finland,FIN,78.3,84.1
Fiji,FJI,67.154,73.171
France,FRA,79.3,85.6
Faroe Islands,FRO,79.4,84.1
"Micronesia, Fed. Sts.",FSM,68.144,70.106
Gabon,GAB,63.759,65.039
United Kingdom,GBR,79.3,82.9
Georgia,GEO,71.154,78.359
Ghana,GHA,60.357,62.314
Gibraltar,GIB,,
Guinea,GIN,58.271,59.219
"Gambia, The",GMB,58.906,61.617
Guinea-Bissau,GNB,53.422,56.985
Equatorial Guinea,GNQ,56.329,59.031
Greece,GRC,78.7,84
Grenada,GRD,70.999,75.852
Greenland,GRL,,
Guatemala,GTM,68.279,75.338
Guam,GUM,76.567,81.813
Guyana,GUY,64.163,68.762
High income,HIC,78.04416787,83.29027109
"Hong Kong SAR, China",HKG,81.2,86.9
Honduras,HND,70.684,75.71
Heavily indebted poor countries (HIPC),HPC,59.3339409,62.31474523
Croatia,HRV,74.5,80.3
Haiti,HTI,60.665,64.934
Hungary,HUN,72.8,79.1
IBRD only,IBD,69.97000122,74.27317956
IDA & IBRD total,IBT,67.83647659,71.8071313
IDA total,IDA,61.77432676,64.97172143
IDA blend,IDB,61.6316701,65.14760088
Indonesia,IDN,66.868,71.01
IDA only,IDX,61.8548422,64.87482351
Isle of Man,IMN,,
India,IND,66.606,69.492
Not classified,INX,,
Ireland,IRL,79.3,83.1
"Iran, Islamic Rep.",IRN,74.302,76.531
Iraq,IRQ,67.227,71.681
Iceland,ISL,80.5,83.7
Israel,ISR,80.3,84.1
Italy,ITA,80.3,85.2
Jamaica,JAM,73.314,78.11
Jordan,JOR,72.418,75.768
Japan,JPN,80.5,86.83
Kazakhstan,KAZ,67.12,75.94
Kenya,KEN,59.851,63.388
Kyrgyz Republic,KGZ,66.5,74.5
Cambodia,KHM,66.224,70.3
Kiribati,KIR,62.819,69.241
