,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,67.129,67.625,68.065,68.458,68.817,69.165,69.526,69.917,70.345,70.811,71.306,71.815,72.312,72.779,73.204,73.579,73.902,74.183,74.43,74.647,74.839,75.01,75.164,75.305,75.436,75.556,75.663,75.754,75.827,75.886,75.932,75.969,76.002,76.033,76.066,76.1,76.133,76.164,76.192,76.221,76.257,76.307,76.375,76.465,76.575,76.703,76.846,76.994,77.144,77.29,77.43,77.564,77.694,77.821,77.946,64.084,64.429,64.747,65.053,65.356,65.66,65.959,66.242,66.503,66.745,66.972,67.19,67.405,67.626,67.857,68.11,68.394,68.706,69.041,69.387,69.726,70.036,70.301,70.51,70.66,70.757,70.814,70.851,70.886,70.924,70.969,71.018,71.062,71.098,71.126,71.148,71.167,71.187,71.214,71.251,71.305,71.379,71.475,71.591,71.725,71.871,72.024,72.177,72.325,72.464,72.595,72.717,72.836,72.955,73.075
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,33.105,33.557,34.001,34.44,34.875,35.307,35.738,36.17,36.603,37.042,37.487,37.94,38.402,38.875,39.363,39.866,40.386,40.923,41.482,42.066,42.685,43.349,44.061,44.819,45.619,46.458,47.332,48.227,49.126,50.013,50.867,51.671,52.416,53.098,53.713,54.257,54.734,55.159,55.548,55.911,56.265,56.62,56.983,57.357,57.747,58.151,58.564,58.975,59.379,59.772,60.154,60.527,60.893,61.256,61.615,31.589,32.035,32.476,32.913,33.348,33.781,34.214,34.646,35.079,35.516,35.956,36.403,36.856,37.32,37.797,38.291,38.804,39.336,39.892,40.474,41.089,41.744,42.44,43.173,43.94,44.738,45.565,46.41,47.259,48.096,48.903,49.66,50.36,50.997,51.568,52.075,52.524,52.931,53.312,53.678,54.041,54.409,54.785,55.167,55.559,55.957,56.355,56.747,57.126,57.491,57.844,58.186,58.524,58.859,59.193
Angola,AGO,34.504,34.91,35.317,35.723,36.13,36.537,36.945,37.355,37.766,38.175,38.585,38.995,39.405,39.809,40.198,40.559,40.876,41.141,41.355,41.522,41.661,41.794,41.941,42.114,42.315,42.53,42.736,42.911,43.045,43.139,43.203,43.25,43.307,43.402,43.554,43.796,44.155,44.632,45.215,45.888,46.621,47.374,48.109,48.793,49.41,49.954,50.433,50.875,51.301,51.72,52.138,52.558,52.976,53.392,53.805,31.538,31.935,32.331,32.727,33.124,33.521,33.919,34.319,34.72,35.12,35.52,35.922,36.324,36.72,37.105,37.468,37.801,38.096,38.35,38.561,38.729,38.855,38.948,39.018,39.072,39.109,39.127,39.129,39.126,39.134,39.172,39.26,39.414,39.646,39.966,40.39,40.927,41.567,42.285,43.059,43.856,44.639,45.381,46.06,46.664,47.191,47.649,48.065,48.463,48.852,49.241,49.632,50.024,50.413,50.802
Albania,ALB,63.247,64.325,65.261,66.017,66.585,66.987,67.273,67.517,67.779,68.084,68.441,68.84,69.247,69.64,70.014,70.37,70.711,71.045,71.382,71.725,72.085,72.472,72.885,73.315,73.746,74.15,74.488,74.741,74.902,74.978,74.989,74.967,74.954,74.987,75.089,75.28,75.576,75.96,76.41,76.906,77.42,77.922,78.384,78.787,79.119,79.374,79.557,79.692,79.799,79.891,79.979,80.072,80.175,80.288,80.415,61.309,62.272,63.117,63.811,64.346,64.723,64.962,65.116,65.233,65.346,65.496,65.714,66.004,66.356,66.762,67.19,67.596,67.943,68.204,68.376,68.475,68.533,68.59,68.673,68.788,68.92,69.04,69.12,69.145,69.122,69.07,69.015,68.993,69.03,69.14,69.337,69.624,69.982,70.39,70.829,71.273,71.695,72.079,72.415,72.7,72.946,73.171,73.402,73.655,73.935,74.235,74.544,74.843,75.119,75.369
Arab World,ARB,47.8855844,48.46321099,49.04402469,49.63383877,50.23440361,50.83988239,51.43934862,52.0239343,52.59052211,53.14393826,53.69188048,54.24713449,54.82088508,55.41760443,56.03623406,56.67894962,57.34720317,58.03708635,58.74673164,59.47771095,60.2271098,60.98603129,61.74045854,62.47422691,63.16884869,63.81082747,64.39100002,64.91359656,65.38498102,65.81001697,66.27605487,66.62840621,66.9253484,67.26921331,67.622992,68.01590974,68.35914295,68.69314179,68.99592555,69.2832619,69.53108186,69.76538148,69.981369,70.19005864,70.40727683,70.62851495,70.86289842,71.08673991,71.30296745,71.51559906,71.71869784,71.91824539,72.10191424,72.30161474,72.50197219,45.86661259,46.44850448,47.02406658,47.59628026,48.16509897,48.72693473,49.27350207,49.80186304,50.31398313,50.81702615,51.32416324,51.85299808,52.41211082,52.9998742,53.60678754,54.21435383,54.80009533,55.34993188,55.86433719,56.35589164,56.85021922,57.37675966,57.95313735,58.58245699,59.25032453,59.93209641,60.59444296,61.20695573,61.74906974,62.21539408,62.71800693,63.06042686,63.31072233,63.62829662,63.96661115,64.37466031,64.71390478,65.04319197,65.34184588,65.62573626,65.87502878,66.10820217,66.3289309,66.54311092,66.76560983,66.98789608,67.21546669,67.44158571,67.64865777,67.84260727,68.02981449,68.19286852,68.37038604,68.56242591,68.7575953
United Arab Emirates,ARE,55.006,55.993,56.973,57.946,58.909,59.854,60.771,61.652,62.489,63.279,64.02,64.715,65.369,65.991,66.583,67.147,67.685,68.197,68.685,69.149,69.592,70.013,70.413,70.793,71.155,71.499,71.827,72.138,72.435,72.72,72.995,73.26,73.518,73.769,74.018,74.267,74.521,74.78,75.045,75.314,75.584,75.852,76.112,76.363,76.601,76.825,77.037,77.238,77.431,77.617,77.799,77.977,78.152,78.324,78.495,49.612,50.709,51.807,52.904,53.996,55.074,56.126,57.139,58.106,59.022,59.883,60.693,61.459,62.188,62.885,63.551,64.187,64.794,65.373,65.924,66.451,66.952,67.428,67.881,68.311,68.722,69.112,69.483,69.838,70.178,70.506,70.824,71.133,71.434,71.729,72.018,72.301,72.579,72.849,73.114,73.373,73.628,73.879,74.126,74.368,74.602,74.826,75.038,75.238,75.426,75.605,75.779,75.95,76.121,76.295
Argentina,ARG,68.154,68.362,68.536,68.685,68.82,68.958,69.111,69.289,69.495,69.733,70,70.291,70.593,70.896,71.196,71.494,71.793,72.097,72.407,72.718,73.022,73.308,73.571,73.806,74.016,74.206,74.387,74.569,74.762,74.969,75.191,75.426,75.666,75.905,76.142,76.377,76.611,76.844,77.079,77.313,77.544,77.769,77.987,78.194,78.392,78.581,78.76,78.934,79.103,79.27,79.434,79.595,79.754,79.909,80.06,62.417,62.459,62.477,62.485,62.499,62.536,62.612,62.731,62.893,63.099,63.344,63.618,63.906,64.198,64.485,64.766,65.045,65.327,65.612,65.897,66.174,66.433,66.668,66.877,67.062,67.227,67.382,67.538,67.702,67.879,68.07,68.275,68.487,68.702,68.917,69.13,69.341,69.55,69.755,69.955,70.148,70.333,70.507,70.672,70.83,70.98,71.126,71.271,71.417,71.567,71.724,71.891,72.066,72.25,72.443
Armenia,ARM,69.057,69.481,69.908,70.336,70.761,71.182,71.597,72.002,72.389,72.748,73.063,73.317,73.503,73.623,73.683,73.706,73.725,73.76,73.818,73.885,73.917,73.849,73.643,73.287,72.805,72.251,71.7,71.232,70.908,70.755,70.78,70.96,71.241,71.574,71.94,72.331,72.751,73.206,73.696,74.207,74.717,75.207,75.662,76.071,76.428,76.736,77.002,77.244,77.473,77.694,77.908,78.109,78.291,78.452,78.594,62.822,63.24,63.664,64.092,64.522,64.953,65.384,65.81,66.22,66.602,66.935,67.198,67.381,67.486,67.52,67.509,67.486,67.479,67.502,67.552,67.606,67.626,67.576,67.436,67.203,66.88,66.476,66.03,65.586,65.18,64.86,64.67,64.627,64.732,64.983,65.366,65.851,66.393,66.949,67.491,68,68.469,68.906,69.313,69.684,70.003,70.259,70.451,70.585,70.669,70.72,70.756,70.796,70.856,70.944
