country,code,life,GDP
Aruba,ABW,75.32865854,
Afghanistan,AFG,60.02826829,42806.52245
Angola,AGO,51.86617073,653.3474881
Albania,ALB,77.64046341,7561.652304
Arab World,ARB,70.36980568,42831.08913
United Arab Emirates,ARE,77.19563415,13027.20482
Argentina,ARG,75.98609756,3716.828923
Armenia,ARM,74.56136585,
Antigua and Barbuda,ATG,75.77865854,13342.085
Australia,AUS,82.14878049,67652.68321
Austria,AUT,81.13658537,50557.80381
Azerbaijan,AZE,70.69058537,7811.621418
Burundi,BDI,56.25160976,259.3652082
Belgium,BEL,80.58780488,46622.46799
Benin,BEN,59.31202439,882.6386333
Burkina Faso,BFA,58.24063415,709.0712477
Bangladesh,BGD,71.2452439,954.3963997
Bulgaria,BGR,74.86097561,7656.638506
Bahrain,BHR,76.54595122,24378.94483
"Bahamas, The",BHS,75.07353659,22315.60365
Bosnia and Herzegovina,BIH,76.27692683,4748.040692
Belarus,BLR,72.47073171,7722.123351
Belize,BLZ,69.98204878,4723.594321
Bolivia,BOL,67.91343902,85748.06541
Brazil,BRA,74.12243902,2948.032918
Barbados,BRB,75.33395122,12071.77799
Brunei Darussalam,BRN,78.54665854,15153.82138
Bhutan,BTN,69.10292683,39151.23423
Botswana,BWA,64.36080488,2383.04473
Central African Republic,CAF,49.87987805,6806.677467
Canada,CAN,81.76504878,317.1673705
Central Europe and the Baltics,CEB,76.35516299,52266.17568
Switzerland,CHE,82.79756098,13685.03986
Channel Islands,CHI,80.46282927,84669.29294
Chile,CHL,81.19792683,
China,CHN,75.58514634,15764.75545
Cote d'Ivoire,CIV,51.20846341,6991.853866
Cameroon,CMR,55.04180488,1447.222821
"Congo, Rep.",COG,61.66639024,1331.200021
Colombia,COL,73.80973171,3205.457783
Comoros,COM,62.93217073,8030.690861
Cabo Verde,CPV,72.97236585,796.7645384
Costa Rica,CRI,79.22521951,3623.22243
Caribbean small states,CSS,72.70227286,10461.57751
Cuba,CUB,79.25639024,9944.637779
Cyprus,CYP,79.94978049,6789.849597
Czech Republic,CZE,78.17560976,
Germany,DEU,80.84390244,
Djibouti,DJI,61.68646341,27909.10721
Denmark,DNK,80.3,19813.87157
Dominican Republic,DOM,73.31990244,45600.77451
Algeria,DZA,74.56895122,1683.429923
East Asia & Pacific (excluding high income),EAP,73.80252571,7036.548388
Early-demographic dividend,EAR,68.74176179,60361.73877
East Asia & Pacific,EAS,74.73859855,5952.329007
Europe & Central Asia (excluding high income),ECA,71.73616714,5491.614414
Europe & Central Asia,ECS,76.7892239,5850.555806
Ecuador,ECU,75.6485122,3321.825496
"Egypt, Arab Rep.",EGY,70.92578049,9282.563093
Euro area,EMU,81.59404888,10133.9932
Eritrea,ERI,63.17787805,25654.10449
Spain,ESP,83.07804878,6051.611129
Estonia,EST,77.14146341,3264.450063
Ethiopia,ETH,63.44219512,38920.61984
European Union,EUU,80.58953364,
Fragile and conflict affected situations,FCS,61.39444507,29370.66387
Finland,FIN,80.97560976,19155.42125
Fiji,FJI,69.91792683,503.9026066
France,FRA,82.2195122,35402.49152
"Micronesia, Fed. Sts.",FSM,68.97339024,1696.619644
Gabon,GAB,63.84358537,49638.07713
United Kingdom,GBR,81.00487805,4765.84403
Georgia,GEO,74.51390244,42571.19799
Ghana,GHA,61.14207317,54117.84441
Guinea,GIN,58.2164878,3044.077373
"Gambia, The",GMB,59.99926829,10658.77273
Guinea-Bissau,GNB,54.83841463,42294.89012
Equatorial Guinea,GNQ,57.29082927,4274.376873
Greece,GRC,81.28536585,1827.101368
Grenada,GRD,73.19356098,
Guatemala,GTM,71.48639024,521.5389059
Guam,GUM,78.8725122,484.112865
Guyana,GUY,66.31002439,584.2818452
High income,HIC,80.45025945,21497.89443
"Hong Kong SAR, China",HKG,83.83170732,21842.70331
Honduras,HND,72.94285366,7956.141842
Heavily indebted poor countries (HIPC),HPC,60.31082568,42827.80827
Croatia,HRV,77.12682927,3432.021781
Haiti,HTI,62.40114634,
Hungary,HUN,75.56585366,3928.87895
IBRD only,IBD,71.8107085,41758.98686
IDA & IBRD total,IBT,69.51149053,38364.1949
IDA total,IDA,62.98347989,2356.516704
IDA blend,IDB,63.08274424,876.2711187
Indonesia,IDN,68.70460976,13574.97804
IDA only,IDX,62.9280568,810.3265496
India,IND,67.66041463,13585.43018
Ireland,IRL,81,5849.338726
"Iran, Islamic Rep.",IRN,75.12597561,4673.261309
Iraq,IRQ,69.1834878,1335.200716
Iceland,ISL,82.06097561,2096.051007
Israel,ISR,82.05609756,3631.672694
Italy,ITA,82.6902439,900.505927
Jamaica,JAM,75.4882439,78119.05987
Jordan,JOR,73.9,1456.201628
Japan,JPN,83.33195122,
Kazakhstan,KAZ,70.45,51814.8593
Kenya,KEN,60.95378049,6631.29827
Kyrgyz Republic,KGZ,70.20243902,6816.628299
Cambodia,KHM,67.77204878,47493.24904
