country,code,1960,1970,1980,1990,2000,2010
Aruba,ABW,,,,,20619.56585,24289.14152
Andorra,AND,,3238.091462,12377.71598,18876.72935,21432.96007,39639.38602
Afghanistan,AFG,59.78768071,157.2584608,275.6498281,,,569.9407288
Angola,AGO,,,,901.1076018,606.2722922,3886.479354
Albania,ALB,,,,639.4638993,1175.788981,4094.358832
Arab World,ARB,,254.58082,2053.517705,2008.029448,2608.885949,5957.949586
United Arab Emirates,ARE,,,42878.85438,27989.30127,34207.53895,34341.91129
Argentina,ARG,,1317.4875,2738.284626,4318.774568,7669.273709,10332.03237
Armenia,ARM,,,,636.68069,621.4248263,3124.784018
American Samoa,ASM,,,,,,
Antigua and Barbuda,ATG,,,1565.648635,6325.240905,10094.75906,13017.31039
Australia,AUS,1806.804876,3297.783659,10186.12824,18221.69121,21665.11545,51845.65486
Austria,AUT,935.4604269,2053.809514,10843.36172,21628.76023,24517.26745,46659.84082
Azerbaijan,AZE,,,,1237.324492,655.0974326,5842.805784
Burundi,BDI,70.33307377,70.21250721,222.8806155,201.6876563,128.6355365,214.2309908
Belgium,BEL,1273.691659,2780.69881,12932.87283,20710.66393,23207.40591,44382.87977
Benin,BEN,93.02258497,114.7366636,377.956636,391.8934468,369.7008681,732.9536227
Burkina Faso,BFA,68.42470567,81.49993123,282.6857855,351.9792491,226.8016078,574.4580893
Bangladesh,BGD,88.68945339,138.245986,222.9242646,298.144992,406.5317405,760.3319352
Bulgaria,BGR,,,2261.417233,2377.335894,1609.280586,6752.552178
Bahrain,BHR,,,8537.597542,8528.760059,13590.52105,20386.01756
"Bahamas, The",BHS,1550.337434,3179.238808,6338.649957,12350.88048,21241.16539,21920.51659
Bosnia and Herzegovina,BIH,,,,,1451.664002,4475.08813
Belarus,BLR,,,,1704.740304,1273.049124,5818.854859
Belize,BLZ,304.9102814,435.7011786,1351.013867,2202.322556,3364.464523,4344.136669
Bermuda,BMU,1902.402119,3387.272727,11218.21782,26841.51974,56284.16865,88207.32756
Bolivia,BOL,152.4617632,225.748499,811.7773315,709.9486541,1007.002869,1981.160105
Brazil,BRA,209.1987851,440.9931063,1923.282615,3071.627953,3728.50801,11121.42095
Barbados,BRB,,,4013.848582,7727.850593,11568.05194,15901.43294
Brunei Darussalam,BRN,,1380.416864,25530.41308,13701.89704,18154.83493,31453.2244
Bhutan,BTN,,,328.8078494,559.8216186,778.391266,2201.293078
Botswana,BWA,58.03384675,138.8750098,1064.796443,2747.208438,3333.17955,6244.002574
Central African Republic,CAF,74.59629113,103.4097966,350.4902816,490.3995393,245.4343849,446.8002046
Canada,CAN,2294.568814,4121.932809,11135.43799,21371.2911,24124.16917,47445.76193
Central Europe and the Baltics,CEB,,,,2294.681277,3943.594923,12546.04673
Switzerland,CHE,1787.360348,,18785.03644,38332.15172,37813.23426,74277.12051
Channel Islands,CHI,,,,,43299.40114,
Chile,CHL,547.2850266,939.263297,2454.288156,2401.525181,5229.177098,12785.05187
China,CHN,88.72249762,111.8227227,193.2768322,316.2244304,954.5522917,4514.94052
Cote d'Ivoire,CIV,157.1933651,277.6624712,1231.087928,887.3854461,648.8107641,1236.085198
Cameroon,CMR,115.4073135,171.3200388,754.6648207,923.8812783,583.0948382,1147.242347
"Congo, Rep.",COG,129.9667837,205.9491868,946.7770499,1172.757072,1035.584462,2953.185008
Colombia,COL,245.1974605,326.2909045,1204.154102,1175.149339,2472.197776,6250.6545
Comoros,COM,,,400.319143,602.2748212,372.1890023,739.8977906
Cabo Verde,CPV,,,498.0650336,899.2987882,1229.044456,3393.927492
Costa Rica,CRI,380.7206472,532.66512,2022.110649,2391.302218,4062.322308,7985.951035
Caribbean small states,CSS,457.4647121,767.9045968,2447.787634,2963.161515,4989.630947,8699.517699
Cuba,CUB,,653.2329198,2024.660035,2706.975485,2749.463492,5688.666732
Curacao,CUW,,,,,,
Cayman Islands,CYM,,,,,,
Cyprus,CYP,,,4232.022939,9641.575273,14307.35353,30438.90019
Czech Republic,CZE,,,,3901.525437,5994.528277,19763.9638
Germany,DEU,,2750.719742,12092.38185,22219.57253,23718.7467,41788.04479
Djibouti,DJI,,,,768.8000207,762.8838243,1358.4605
Dominica,DMA,,,784.7250668,2344.944441,4819.899954,6937.256084
Denmark,DNK,1364.51716,3421.989912,13833.12352,26861.79959,30743.55917,57647.66876
Dominican Republic,DOM,204.126211,329.8606475,1141.451328,984.6914396,2802.424044,5441.965749
Algeria,DZA,244.8237353,334.2595552,2189.775719,2394.420608,1757.011974,4473.486446
East Asia & Pacific (excluding high income),EAP,89.36329959,113.2106223,279.2369411,418.259892,956.0317203,3982.014066
Early-demographic dividend,EAR,157.1893809,224.8174162,818.9107748,899.5963669,1327.810054,2929.830906
East Asia & Pacific,EAS,147.0156002,314.011786,1157.619722,2594.595948,3976.563653,7563.222732
Europe & Central Asia (excluding high income),ECA,,,,2410.073632,1762.041827,7650.805152
Europe & Central Asia,ECS,648.158272,1365.476799,5727.719706,10479.87919,11512.89374,23430.87137
Ecuador,ECU,222.2669606,471.3865364,2241.788882,1491.402557,1451.290776,4657.301737
"Egypt, Arab Rep.",EGY,,220.7067235,528.3084445,764.7606811,1461.018259,2668.035988
Euro area,EMU,924.6023995,2231.870907,9780.640681,18848.79263,20207.12303,37604.26628
Eritrea,ERI,,,,,199.8131951,451.4266933
Spain,ESP,396.3922533,1208.996662,6200.33627,13773.3657,14787.75606,30737.83227
Estonia,EST,,,,,4070.031904,14641.40314
